,lqr,sparse_lqr,sparse_max_discrete,sparse_max_continuous,null_model_1,null_model_2,hill_climbing
0,-116.0963139229417,-27.521626893827595,-29.774903119248687,-29.332041658748523,-67.3103488818221,-26.43789878248372,-27.01843266312491
1,-134.27993996186132,-90.01793167536594,-94.826785416788,-92.05789006145676,-105.741802674342,-90.84292143808432,-93.03587441312345
2,-113.5590709152414,-89.5404092796716,-80.2257876320501,-92.66503011669965,-112.1664752398369,-90.02367738811813,-91.2213684116438
3,-124.9899641871941,-75.21733165434779,-77.93799671098324,-77.31288029491559,-88.57878504108196,-75.17990580967808,-75.90044832156669
4,-135.4782466855778,-105.16425283932104,-100.5229099825028,-102.4635880445882,-106.13458525184005,-104.17731270031136,-99.0057338175078
5,-120.83819220871445,-89.08842303596035,-87.32393195253067,-87.63842963370911,-83.41062531212984,-89.8449563905542,-72.61677014043369
6,-106.00201028289676,-70.28833875053843,-76.4753250657722,-75.74298661240991,-83.53387076374395,-73.7127389826268,-74.16007571577398
7,-121.68825711726552,-94.17825878314572,-97.13815633600848,-96.1021392320618,-109.14795265263405,-94.76058838007792,-95.82095421810672
8,-129.43894196000852,-77.45048386406684,-78.83326305533599,-67.80800256619716,-85.85091386912579,-77.41487215288198,-76.04892157656647
9,-112.91613575785723,-80.57739234572324,-83.49350161119459,-83.25846540746309,-88.22881832458077,-82.32508351188525,-83.55268136674934
10,-122.0530322419398,-84.10175810291231,-90.08331734222001,-84.58145347600421,-103.3608130780892,-87.60740928001907,-88.92480370051561
11,-108.6097898083784,-81.85110921678832,-84.13126651365751,-90.77300901366982,-95.86616376186493,-81.7372967120785,-82.7886524094927
12,-90.86047082270535,-56.62982815152231,-51.45484826603117,-57.28866253588122,-80.44820883642008,-58.01875519669085,-49.450796552373
13,-137.10733175216473,-80.0175287385475,-80.64105590285092,-83.61027011200919,-89.42747919721758,-81.46398927663884,-81.71948532806397
14,-113.4139530138262,-78.4964351668622,-69.14023085935415,-66.21820691533823,-84.66127027202434,-63.205150898944,-69.0849094876082
15,-143.24131819283775,-90.65527800023892,-93.25572652800165,-92.50319747173754,-86.90820836636844,-91.1866001107287,-90.96529857810144
16,-120.2182148180484,-51.25413647659053,-54.33190601504299,-55.01045686562654,-57.42507960327662,-55.53717486799638,-42.90541056797697
17,-99.84193258980643,-80.05577004352779,-79.99304806384993,-84.14877351189419,-102.51411581950485,-88.22284151222631,-84.58562484791145
18,-128.88804672449643,-64.76218677949906,-54.74400417619566,-59.42981518916446,-65.06139677563522,-67.47400599128609,-53.81279953609456
19,-118.96179507659825,-79.15743815704832,-61.81734618708994,-75.08652299667945,-93.06561800730354,-79.12809819813695,-80.2357252169181
20,-136.0351293237256,-105.59039234018341,-110.89357045813965,-103.12112993392894,-115.84597377008316,-107.34542864807925,-106.0542813287487
21,-120.9146641970675,-70.3387447044608,-69.4402156092272,-58.46283823868104,-76.26942113559399,-72.13847032048957,-72.39480328611332
22,-132.82977418049708,-117.73670879717466,-123.52255091828634,-118.44928626289928,-124.8724200436082,-117.8549581297798,-117.59624044698742
23,-121.2882723901992,-108.96214096393724,-110.88384132261618,-115.6722982154212,-108.870553843832,-108.03821947195743,-111.46753900957049
24,-118.04151932675532,-90.55540882053354,-88.78266365935984,-87.63440551734527,-98.52763343820264,-95.4628104502214,-84.53023885762285
25,-136.6712150391823,-93.28995075500193,-85.41525216629023,-90.3100546387764,-96.4244073005022,-93.09966276441271,-84.0363275911873
26,-102.9354779428528,-86.88004483312548,-85.72270103495991,-85.95441619096401,-108.71430248249294,-88.53387717946684,-86.44846233240517
27,-111.4413329159082,-83.48918614603807,-77.6894124860975,-76.5036047710867,-95.26846588209486,-84.84552248979455,-68.33966106127218
28,-101.61349996124292,-46.46647729409545,-50.43494516262763,-49.96923980650636,-62.96453178734231,-52.23960095420726,-45.8719950088709
29,-134.84698627673578,-63.5550632943139,-47.77134249245497,-46.64370334387823,-74.95065550872592,-63.68340212364525,-48.3329447240863
30,-116.9515070078113,-77.14107389971969,-80.7119013596091,-77.78762668622022,-92.44571228047911,-80.32851715864922,-85.8216636568661
31,-139.37966311908696,-105.37308258841202,-99.14101121960708,-105.31894411293325,-104.93995009550179,-106.61251088278404,-94.54455664489424
32,-142.20785546544727,-52.1650970070411,-57.4293418626797,-57.03554180604002,-65.34248868797194,-54.42506845698622,-49.56915569905459
33,-121.4823007458965,-75.17467024519021,-80.59536385188146,-73.31948852221727,-92.01202589698084,-75.70837540982356,-76.49399728680143
34,-132.0501538128101,-91.11354596413625,-95.84114374769086,-91.75992642846025,-104.71052478445196,-91.8670894097438,-94.84114383577344
35,-126.07076827906245,-82.88879168651766,-62.49423574858692,-77.45479383383672,-90.52119609223192,-82.55300458658556,-70.24886794862856
36,-137.6675851829014,-63.07474431730955,-67.66531258288566,-68.32410522955732,-69.16005951873359,-69.49786132389843,-63.48876821505408
37,-134.80792192105912,-80.40389100358306,-79.76788597588795,-84.13163962620126,-76.35568801738184,-84.646732849133,-75.6724356872152
38,-117.67598379078085,-61.08965358550044,-64.27598105026547,-53.66231035573639,-85.06897942847445,-65.65939840119887,-43.76011881025959
39,-125.28051839056202,-37.392410960009066,-42.155914982263525,-42.740470427818224,-40.87833060238885,-39.146144336415404,-39.592292042888104
40,-122.76282729970644,-87.12771617989641,-90.4498215494028,-91.85505142658752,-99.81586607705685,-87.49178215920777,-88.82259178461617
41,-99.83648660375864,-65.42192216660143,-68.89866096615762,-68.71114953451817,-78.57464267628808,-67.11391316693198,-68.29328239185111
42,-130.73871074854824,-104.01465159925344,-81.88661286947665,-96.84846352175295,-109.7471895625301,-94.85977384434658,-89.04652346320087
43,-113.80157307457594,-61.06698504431578,-61.91994403936124,-62.75956196039456,-78.79276591696166,-62.76030652357858,-45.46421984213404
44,-131.32605793367821,-102.69463402442415,-98.61530884077843,-104.4657415671504,-105.4297860480299,-105.98700556692752,-102.21508971772766
45,-113.99481302800095,-72.86874421497913,-70.02301436350041,-70.01791927051339,-103.85029923336891,-74.1140561715467,-74.65237411278409
46,-91.49960409067921,-61.04468565516897,-55.39421601097808,-62.9630656552125,-40.7728256913505,-63.08005352874879,-62.87326181702092
47,-124.64882480731151,-76.02295323752341,-53.00691481851463,-53.0359178044156,-79.68593329384719,-50.78901907867824,-51.80387015040962
48,-122.84248004837806,-70.24342632524947,-73.3531824275362,-73.48200855228141,-75.66057834235295,-71.52192729857813,-72.62653252063615
49,-140.03078482759324,-70.98056542812138,-64.36758948380965,-70.61454041297249,-63.9758440505971,-72.19248065203605,-59.44864670685914
50,-113.9034119867398,-115.8202860670852,-77.0418367032193,-69.20226794734808,-102.5656506211159,-85.06470751302301,-67.97958052094114
51,-128.75313129252052,-115.2575550296376,-104.88980723159445,-112.15956456176986,-118.00496704789644,-115.96894361897468,-107.61042081791678
52,-142.32466449606093,-83.44717389544834,-78.87170502802265,-84.38371911477338,-87.40863598379272,-83.13762023275065,-79.18909298502132
53,-104.38954675487646,-89.91021689660744,-84.38690813116766,-74.87979224170938,-88.44308775356501,-89.62717747438428,-81.30455774746082
54,-122.53698014868422,-73.20868175738144,-77.38065912801834,-75.93018466353963,-84.55093540370599,-75.05074757804671,-76.72166219765373
55,-119.01219644244865,-67.68959287842357,-69.79382782212657,-68.9947984808686,-85.16997142608996,-67.52293834064214,-68.0507582546305
56,-112.14550308668252,-98.17203865284606,-98.96533199491206,-94.24877693343248,-110.8591766598771,-100.29802575770765,-98.3526955553108
57,-128.06708445343625,-91.78766305465984,-99.75909276874545,-92.78570481710285,-116.21280246261782,-97.36692339972991,-98.75909278857428
58,-126.87372521505257,-100.77557557469711,-97.75995335959955,-103.26206815645477,-103.5087762677664,-102.14023663950856,-99.90693106493492
59,-87.88743330726683,-66.31174187570072,-66.19952961922847,-70.11525679164929,-85.02870744060446,-73.93452872695626,-55.97930301190411
60,-135.10600915167208,-60.49699352027194,-54.40006861445032,-54.76144860598855,-74.83250240010524,-62.35757706982134,-48.38372169952156
61,-127.61385625670881,-85.91339944399775,-80.37900548445954,-69.34247588498451,-91.68968927210855,-86.83591855691125,-79.3429081920874
62,-128.65157443189233,-85.63158048129795,-80.39283552295255,-77.2574545375247,-86.63710785410149,-87.28061036699184,-74.37618620497705
63,-108.7794315378968,-94.5746649197668,-91.09029652732876,-95.30959770584386,-93.23707377047008,-95.4572232322858,-88.73429327637432
64,-137.21963827256522,-123.17352211670492,-121.1644144199283,-123.71489333328353,-123.50208484454815,-121.03409651118773,-119.28650670745155
65,-123.1163254874834,-92.02012209177732,-86.09165109244086,-86.97787515233446,-94.77970631177006,-93.55103576215964,-82.44487820899192
66,-118.13594517407728,-90.60804303020636,-92.9693580051903,-95.52972187965425,-99.06699687977974,-90.53545526083292,-91.8848605397
67,-141.87001666698632,-122.61492408617286,-118.58177504252632,-110.81173816535376,-130.626534009949,-120.4925342306998,-112.26064966104904
68,-118.92339624414765,-102.61964564398858,-92.66187705908442,-96.5603055779208,-109.18409749122202,-102.1190060440018,-91.99596573480741
69,-128.52480516794608,-67.42561579125811,-62.24932650813944,-65.95918208913231,-85.5302040130858,-69.48291487341646,-65.57033446424349
70,-139.96223463754401,-61.30277999508986,-66.18699402486828,-69.93751579465146,-93.02296232946206,-63.58658216086828,-64.66231790729053
71,-139.70042624325774,-121.5612460116758,-131.1362698573931,-131.13607846212693,-138.2749889097194,-126.0209271721226,-133.0905214989445
72,-132.86778416897982,-98.63445833979765,-86.26338216103107,-98.13201166455045,-105.39874457888627,-102.07880292491055,-92.75440729740755
73,-137.39252603937746,-82.96061823544514,-82.0482069555813,-81.37491413926351,-82.01831844365049,-82.64155244860221,-82.23112086487735
74,-111.14661679903574,-93.50814146871416,-85.4975003030367,-90.88183782268965,-104.54040381793781,-94.76632991909594,-90.82967561986756
75,-127.12766633265807,-64.58100054503421,-64.67543651021748,-60.27406017988788,-73.24439827209437,-64.5612315961483,-46.60586679073529
76,-82.69392335165871,-40.51023323262144,-42.64384256425285,-45.2365298241091,-69.24408778908689,-42.05009797990276,-41.940672400132854
77,-109.1006579492792,-54.53407064556166,-59.6875601430425,-60.24061597171816,-76.86676617514736,-58.75276637421956,-41.20174790927383
78,-120.96587048964608,-95.05561780913746,-81.31510855186205,-93.24948554411225,-105.53592255262672,-96.0310983621132,-87.11558186998285
