,lqr,sparse_lqr,sparse_max_discrete,sparse_max_continuous,null_model_1,null_model_2,hill_climbing
0,-116.39796343666667,-32.7210303194863,-30.041007298315044,-29.895926813386296,-61.028772325381816,-26.740480777801686,-27.422903301106885
1,-134.5985313835468,-91.59853436891454,-86.90819712336723,-93.6457778413291,-103.52482336127989,-91.14643817088586,-92.92115003494258
2,-113.86100657177239,-90.82186689782075,-82.60075934557874,-94.51076001308887,-111.32445832834263,-90.32626030404973,-89.62832081413755
3,-125.29679581860479,-74.52736585878814,-77.76311988775129,-75.84519157121768,-85.18791576475478,-75.47758484383662,-76.43050591127847
4,-135.7725387178288,-106.6181304788121,-98.595247789856,-100.74459976727888,-104.43179181269247,-104.47766602469223,-100.40712979652595
5,-121.1407773017085,-90.54230067545141,-91.9243040515544,-88.22311329819962,-86.44521421528152,-90.20478290298813,-80.33016274398129
6,-106.30069028971779,-71.7422163900295,-76.65726039577382,-77.21556367732317,-83.01692390295375,-74.01532407562085,-74.55964745277682
7,-122.02498929915521,-95.60077012813831,-92.33478724431727,-95.80553781046676,-108.57419984811536,-95.06317347307196,-96.33760839449083
8,-129.7415136535484,-78.90436150355792,-70.93602311117925,-74.74475706099516,-87.62297887639521,-77.71745724587603,-77.0514985267864
9,-113.22786287211487,-79.65621628818212,-83.33500677090446,-82.87908086814022,-84.6370250463688,-82.62766869577978,-84.01817701132406
10,-122.35203570425965,-85.55563574240338,-79.67508401714558,-85.784427038018,-103.44687688399969,-87.9118879517105,-89.67497686696107
11,-108.89766963510975,-83.20534640036023,-85.15068828579734,-91.37817919965791,-94.6398601098607,-82.03988180507255,-84.9894880146135
12,-91.16342546535667,-58.08370579101338,-58.17221669680694,-55.89942806604025,-77.3744332380514,-58.32134028968488,-50.46284093817209
13,-137.35957870136824,-81.47140637803857,-72.26319515915512,-83.11074871537645,-84.79012192162439,-81.76657436963289,-81.24946857025986
14,-113.71700625454487,-79.7108004329497,-66.31453580465735,-67.38177363719545,-79.5535054723931,-63.507735991938056,-66.17501725740752
15,-143.54513993350704,-89.5340743845377,-93.72645908398941,-93.03983977661312,-85.96620419280549,-91.48918520372276,-91.45936826980365
16,-120.5200356197845,-50.82807056592339,-56.782637011321576,-54.90321438088447,-53.268672222704815,-55.839759960990435,-43.51130375626347
17,-100.14451768280048,-83.19350059662206,-85.95105656685833,-84.7332699470698,-99.61280672591867,-88.52542667889024,-90.55770768306654
18,-129.1603963609951,-66.1389561359252,-55.451501813934435,-59.090205690732645,-65.51555525777502,-67.77659108428014,-52.272829355027746
19,-119.28479480127845,-80.58764571671831,-64.73131100433135,-76.26479864948034,-94.99235562988703,-79.430683291131,-80.52433457132638
20,-136.34616299784196,-107.4218699850992,-106.35574873978793,-102.44276235437687,-111.48171209343357,-107.64801374107329,-107.89107416406509
21,-121.24526448027974,-71.79262849789068,-65.634529934445,-64.16662432263952,-77.4278658018409,-72.44105541348362,-67.79923223018544
22,-133.14287640954848,-119.54103727436767,-115.55447608766148,-120.44366338854054,-121.72897429073477,-118.14831555707343,-117.93787698450339
23,-121.58907489067848,-113.74090981128599,-107.96156426537412,-114.09934604932108,-110.50462196447887,-108.31844780198539,-112.9946594944957
24,-118.34644770143883,-92.00928646002461,-89.13049577377804,-88.69644696785595,-99.31929215882973,-95.76539554321545,-84.13330655382504
25,-136.97380013217634,-94.743828394493,-90.2198310568466,-91.31114664941161,-93.13372274189469,-93.40224836742777,-87.22896336521559
26,-103.2380630358468,-88.33392273257282,-81.4230572931011,-89.95773136485984,-103.19498469772176,-88.83646227246089,-86.80858871318897
27,-111.74391800890221,-84.6762016342682,-72.32159462130222,-76.93526364275009,-94.87235906001469,-85.14810817818733,-74.81813306661414
28,-101.91608505423694,-47.920354933586516,-48.1689519298398,-52.9022138585673,-59.27941687561158,-52.542186047201305,-45.56339424658923
29,-135.15120785336373,-65.00894093380496,-48.17368348570732,-47.21085484834399,-70.72357715246105,-63.98948704687458,-48.6143997690801
30,-117.25409210080535,-78.59495153921075,-72.76185361451871,-78.71898885420556,-90.74267388037946,-80.63904178365084,-85.19782994704
