,Unnamed: 0,exp_param,vm_param,pp_id,ll,AIC,agent_type
0,0,0.1018684020036171,9.999489347823898,5f35d6ae93a88f0023c8d644,-24.437898,52.875796,null_model_2
0,0,0.0229705676890056,2.826651133758843,5f35d62693a88f0023c8d611,-88.843779,181.687558,null_model_2
0,0,0.0962270252987026,1.7097800919491124,5f35d80893a88f0023c8d735,-88.023674,180.047348,null_model_2
0,0,0.0430834877614333,4.082179036406373,5f35d6af93a88f0023c8d646,-73.174095,150.34819,null_model_2
0,0,0.0097353768038023,2.362724835096477,5f35d65d93a88f0023c8d629,-102.178619,208.357238,null_model_2
0,0,0.0313068520781087,2.634848597989621,5f35d65893a88f0023c8d625,-87.844957,179.689914,null_model_2
0,0,0.0925643947946175,3.2123339352804505,5f35d60a93a88f0023c8d608,-71.712739,147.425478,null_model_2
0,0,0.0542838662900583,1.7795778177919808,5f35d5ee93a88f0023c8d5fe,-92.747118,189.494236,null_model_2
0,0,0.0188647963202904,5.084802705806032,5f35d64293a88f0023c8d61c,-75.422824,154.845648,null_model_2
0,0,0.0710971301896101,2.5743594983294478,5f35d5d093a88f0023c8d5f7,-80.325083,164.650166,null_model_2
0,0,0.020281335326273,3.4064319195089654,5f35d8e393a88f0023c8d887,-85.609303,175.218606,null_model_2
0,0,0.020679411871383,4.173193192001992,5f35d78293a88f0023c8d697,-79.761294,163.522588,null_model_2
0,0,0.0437713853109717,8.701514852486428,5f35d73b93a88f0023c8d678,-56.017135,116.03427,null_model_2
0,0,0.0353948761413771,3.4676949457889714,5f35d74693a88f0023c8d67e,-79.460483,162.920966,null_model_2
0,0,0.0194219718724982,9.958137910852535,5f35d76593a88f0023c8d688,-61.215176,126.430352,null_model_2
0,0,0.0265629492449866,2.6496614733435453,5f35d61893a88f0023c8d60c,-89.183936,182.367872,null_model_2
0,0,0.0634150622688056,8.246503658206667,5f35d72f93a88f0023c8d675,-53.53718,111.07436,null_model_2
0,0,0.0285967188418942,2.897987013157466,5f35d7da93a88f0023c8d703,-86.222842,176.445684,null_model_2
0,0,0.056105580116513,5.075903543225384,5f35d64493a88f0023c8d61e,-65.473984,134.947968,null_model_2
0,0,0.0904579621396483,2.645727450871603,5f35d74293a88f0023c8d67c,-77.128098,158.256196,null_model_2
0,0,0.0200981725436928,1.4932076061616306,5f35d67e93a88f0023c8d634,-105.385753,214.771506,null_model_2
0,0,0.0333921633012006,5.235822543339199,5f35d78493a88f0023c8d69f,-70.131326,144.262652,null_model_2
0,0,0.0057257048746765,1.796484342237753,5f35d7a693a88f0023c8d6b2,-115.854958,235.709916,null_model_2
0,0,0.0114453787714368,1.951905435499248,5f35d6aa93a88f0023c8d642,-106.01551,216.03102,null_model_2
0,0,0.0154005010062449,2.7958749603801847,5f35d68993a88f0023c8d637,-93.46281,190.92562,null_model_2
0,0,0.0275535450719538,2.465031665666415,5f35d71a93a88f0023c8d66c,-91.099898,186.199796,null_model_2
0,0,0.0692626999990458,2.063253645232121,5f35d60393a88f0023c8d605,-86.533877,177.067754,null_model_2
0,0,0.1081611122057986,2.004381968818447,5f35d73d93a88f0023c8d679,-82.845522,169.691044,null_model_2
0,0,0.0418506770218738,9.955890934978148,5f35d76793a88f0023c8d689,-50.239602,104.479204,null_model_2
0,0,0.0514631774284867,6.239236949893597,5f35d90b93a88f0023c8d8cf,-61.683501,127.367002,null_model_2
0,0,0.0305807317886146,3.8216329083582874,5f35d73993a88f0023c8d677,-78.327781,160.655562,null_model_2
0,0,0.0309548732709454,1.3516643250450289,5f35d77893a88f0023c8d690,-104.587287,213.174574,null_model_2
0,0,0.0384609953501985,9.959521536603102,5f35d77893a88f0023c8d691,-52.42507,108.85014,null_model_2
0,0,0.0272053562129629,4.761821986246905,5f35d63393a88f0023c8d617,-73.704379,151.408758,null_model_2
0,0,0.0600567301094122,1.918272407338557,5f35d79b93a88f0023c8d6aa,-89.867132,183.734264,null_model_2
0,0,0.0472149591100405,2.955108464456525,5f35d63193a88f0023c8d616,-80.553005,165.10601,null_model_2
0,0,0.0192699890668476,7.501443149449675,5f35d65393a88f0023c8d623,-67.499026,138.998052,null_model_2
0,0,0.0569508107097213,2.5651873050153906,5f35d6f793a88f0023c8d65f,-82.646746,169.293492,null_model_2
0,0,0.0712162339495198,4.879224894425073,5f35da2c93a88f0023c8db97,-63.661856,131.323712,null_model_2
0,0,0.0414085532467448,9.720724253645818,5f35d6bc93a88f0023c8d64b,-37.568244,79.136488,null_model_2
0,0,0.0135504254414275,3.977553117214056,5f35d7f093a88f0023c8d716,-85.499728,174.999456,null_model_2
0,0,0.0563881021105955,5.159798643219991,5f35d7d693a88f0023c8d6f7,-65.11389,134.22778,null_model_2
0,0,0.0031681646146766,5.586042746844086,5f35d72493a88f0023c8d66f,-92.84982,189.69964,null_model_2
0,0,0.0207358344738212,9.8275415041105,5f35d7fa93a88f0023c8d725,-60.759172,125.518344,null_model_2
0,0,0.0141770659452607,1.9331614071797052,5f35d86c93a88f0023c8d7e9,-103.986883,211.973766,null_model_2
0,0,0.0871294685408677,3.2363228321418047,5f35d79293a88f0023c8d6a1,-72.114051,148.228102,null_model_2
0,0,0.0810379365481138,5.237290520774316,5f35d97e93a88f0023c8d9d4,-61.08005,126.1601,null_model_2
0,0,0.0642517166219066,9.912390597826654,5f35d72593a88f0023c8d671,-48.790199,101.580398,null_model_2
0,0,0.0327091678389495,5.387092311951469,5f35d7d393a88f0023c8d6f4,-69.520425,143.04085,null_model_2
0,0,0.0259771603780562,5.619486780391997,5f35d90c93a88f0023c8d8d0,-70.201559,144.403118,null_model_2
0,0,0.002902373501756,8.370736646228105,5f35da4f93a88f0023c8dc28,-83.094808,170.189616,null_model_2
0,0,0.0237307936984141,0.899816534097827,5f35d8b893a88f0023c8d833,-113.86062,231.72124,null_model_2
0,0,0.0622844466529715,2.627613497897649,5f35d71c93a88f0023c8d66e,-81.137622,166.275244,null_model_2
0,0,0.0256434883943692,2.911030720950165,5f35db0b93a88f0023c8ded5,-87.632014,179.264028,null_model_2
0,0,0.0156761639396087,6.564888622529422,5f35d83093a88f0023c8d771,-73.045634,150.091268,null_model_2
0,0,0.0486229111394103,5.355371719229069,5f35d6b193a88f0023c8d648,-65.523178,135.046356,null_model_2
0,0,0.0281339873170886,1.872035107671696,5f35dab593a88f0023c8dda2,-98.298684,200.597368,null_model_2
0,0,0.0394607982615748,1.804043011325149,5f35d85593a88f0023c8d7c5,-95.373115,194.74623,null_model_2
0,0,0.0279619358463558,1.720701345459562,5f35d84893a88f0023c8d7af,-100.115304,204.230608,null_model_2
0,0,0.0292663215339265,5.151929358438,5f35d88193a88f0023c8d7ff,-71.930931,147.861862,null_model_2
0,0,0.075195825490876,5.550956031024922,5f35d80393a88f0023c8d729,-60.357297,124.714594,null_model_2
0,0,0.0230954420777772,3.3007669279928087,5f35d5ea93a88f0023c8d5fd,-84.835488,173.670976,null_model_2
0,0,0.0407712540207279,2.626386510120783,5f35d70093a88f0023c8d662,-85.280613,174.561226,null_model_2
0,0,0.0106517957944872,3.2466704089533813,5f35db0c93a88f0023c8deda,-93.43233,190.86466,null_model_2
0,0,0.0080836320166742,1.3328183974531738,5f35d62993a88f0023c8d613,-119.041265,242.08253,null_model_2
0,0,0.0140616190328485,3.129104279520912,5f35dc7593a88f0023c8e5d3,-91.551134,187.102268,null_model_2
0,0,0.0907378314338542,1.712842994443713,5f35da6493a88f0023c8dc69,-88.535453,181.070906,null_model_2
0,0,0.0024216922295047,2.205692814467912,5f35dba493a88f0023c8e193,-118.434424,240.868848,null_model_2
0,0,0.0190091923785271,1.9598752268016129,5f35d83993a88f0023c8d78b,-100.119599,204.239198,null_model_2
