,situation,model,performance
0,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_2,1427.9394244855066
1,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,353.9809383639135
2,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,253.36221750016313
3,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,1.3975594533947941
4,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,234.465501197588
5,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,251.79749243507047
6,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,7.829500820932232
7,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,271.9838874008049
8,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,618.4509960725622
9,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,1.741232342465258
10,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,273.5668089372827
11,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,5.181621449498018
12,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,294.11357797682916
13,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,359.01784784721946
14,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_2,1427.9394244855066
15,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_1,1409.6044199161086
16,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,250.44645209831964
17,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,1.2064779689916691
18,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,251.4905013960521
19,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,220.8217237409232
20,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,538.4794792496638
21,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,737.8044555335964
22,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,424.78905488867105
23,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,398.59171028232646
24,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,243.72064647047543
25,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,250.0810108068711
26,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,236.12685031983042
27,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,270.2122940102457
28,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,281.562484612675
29,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,1112.404427628407
30,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,255.31656796963875
31,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,249.9809760791075
32,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,292.23559548289865
33,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,217.20732368805537
34,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,6.6493421602465
35,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,249.32891754701348
36,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,5.181621449498018
37,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,269.9377992740365
38,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,246.754519653655
39,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,5.118994701772638
40,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,217.20732368805537
41,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,3.3394039240171973
42,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,1079.6005834564717
43,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,245.33557303843443
44,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,5.181621449498018
45,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,230.16370331798657
46,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_1,1482.3179606442186
47,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_2,1427.9394244855066
48,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_1,1325.2487910647042
49,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_1,1305.3294058789304
50,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,723.2840938904219
51,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,244.73508241125685
52,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,225.47870708145825
53,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,390.94361143403444
54,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,5.181621449498018
55,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,199.90608652628816
56,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,405.8168775858452
57,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,413.4678005595601
58,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,281.8121351357788
59,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,359.1265753799552
60,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,245.11368302284228
61,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,698.5184887273281
62,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,289.82213162494554
63,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,320.3288041330934
64,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,254.98798555534066
65,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,243.94107974544372
66,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,5.118994701772638
67,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,214.80482019247904
68,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,314.7136750970021
69,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,290.2767243634449
