,situation,model,performance
0,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_2,1427.9394244855066
1,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,358.0890502521999
2,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,258.63672900532134
3,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,67.72766461764886
4,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,262.8089090237847
5,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,253.0877627815065
6,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,67.72766461764886
7,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,278.90275093483854
8,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,225.24806525538585
9,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,81.7961774008867
10,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,239.07638820300534
11,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,165.2805709018672
12,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,276.96898768588335
13,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,352.62415322428956
14,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_2,1427.9394244855066
15,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_1,1409.6056589664086
16,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,248.31996423785898
17,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,66.02580959955223
18,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,240.3706716299012
19,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,239.3724054148987
20,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,644.5936557787368
21,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,741.8694477252657
22,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,296.2114567798656
23,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,407.73248197884936
24,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,241.98057992614588
25,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,255.03616970150105
26,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,242.53572136353097
27,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,277.26395800575926
28,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,283.0826220760409
29,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,1114.0107863083936
30,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,254.46434200059713
31,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,253.41756114190903
32,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,270.1843464237942
33,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,244.41047645570686
34,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,161.49704048064183
35,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,242.3067887573147
36,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,161.49704048064183
37,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,261.9871638261651
38,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,244.25497869228116
39,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,171.32329729721957
40,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,1060.8252639916536
41,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,153.99318349548795
42,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,1084.5318808707823
43,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,644.9549688302169
44,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,165.2805709018672
45,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,225.45687897989347
46,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_1,1482.3200886514644
47,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_2,1427.9394244855066
48,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,153.99318349548795
49,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_1,1012.6892778013154
50,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,725.7000336557777
51,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,241.38645652536974
52,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,233.67976021963003
53,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,404.5142772496328
54,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,165.2805709018672
55,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,208.83577830268828
56,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,396.1376467867013
57,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,370.1417912923096
58,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,318.1164915537862
59,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,364.87015513262634
60,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,243.69346672426138
61,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,1220.3017450575912
62,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,290.6697615333469
63,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,321.3952139777188
64,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,246.34798835404533
65,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,241.4468165935984
66,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,276.5129841549689
67,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,503.0886969301403
68,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,303.79565273116435
69,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,304.4337969125442
70,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,153.68179882815184
71,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,162.5990490858984
72,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,263.50038296112143
73,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,251.25084964245505
74,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,264.19305289888155
75,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,249.82637560950747
76,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,398.35886024489355
77,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,271.91639056294855
78,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,257.7255729178176
79,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,153.99318349548795
80,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,153.99318349548795
81,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,190.5670392877947
82,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,1045.3443375425882
83,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,810.2918207851623
84,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,153.99318349548795
85,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,276.28405449222583
86,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,259.76807301508836
87,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,467.3415211288461
88,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,249.5003511940581
89,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_1,1422.3528433881538
90,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,246.71408526256857
91,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,369.34793943723963
92,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_2,1427.9394244855066
93,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,69.22717340572618
94,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,283.11677617596536
95,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,288.6253761078096
96,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,370.59871862291914
97,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,63.997028492160844
98,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,263.2295112948178
99,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,190.5670392877947
100,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,248.69611358998796
101,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_lqr,67.72766461764886
102,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_continuous,1262.5240873035073
103,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,288.11733394659035
104,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,1093.561091059121
105,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,553.3675719824248
106,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,269.299807092468
107,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,254.9453078980965
108,"[241.0, -127.0, -192.0, 113.0, -224.0]",hill_climbing,258.67126117675525
109,"[241.0, -127.0, -192.0, 113.0, -224.0]",null_model_1,1405.381422167811
110,"[241.0, -127.0, -192.0, 113.0, -224.0]",sparse_max_discrete,269.73936752697085
111,"[95.0, -108.0, -140.0, 62.0, -173.0]",null_model_2,1073.896177477134
112,"[95.0, -108.0, -140.0, 62.0, -173.0]",sparse_max_discrete,209.2187322623831
113,"[95.0, -108.0, -140.0, 62.0, -173.0]",sparse_max_discrete,107.66235364401945
114,"[95.0, -108.0, -140.0, 62.0, -173.0]",sparse_lqr,57.97260422184293
115,"[95.0, -108.0, -140.0, 62.0, -173.0]",hill_climbing,103.02336656119695
116,"[95.0, -108.0, -140.0, 62.0, -173.0]",hill_climbing,96.15936275749218
117,"[95.0, -108.0, -140.0, 62.0, -173.0]",sparse_lqr,57.97260422184293
118,"[95.0, -108.0, -140.0, 62.0, -173.0]",sparse_max_discrete,138.42315410402006
119,"[95.0, -108.0, -140.0, 62.0, -173.0]",sparse_max_discrete,144.10216633941855
120,"[95.0, -108.0, -140.0, 62.0, -173.0]",sparse_lqr,55.49712689582046
121,"[95.0, -108.0, -140.0, 62.0, -173.0]",sparse_max_discrete,219.22172671744795
122,"[95.0, -108.0, -140.0, 62.0, -173.0]",sparse_lqr,69.10785041585397
123,"[95.0, -108.0, -140.0, 62.0, -173.0]",hill_climbing,115.03226871620556
124,"[95.0, -108.0, -140.0, 62.0, -173.0]",sparse_max_discrete,177.14027328016988
125,"[95.0, -108.0, -140.0, 62.0, -173.0]",null_model_2,1073.896177477134
126,"[95.0, -108.0, -140.0, 62.0, -173.0]",null_model_1,964.5817997889424
127,"[95.0, -108.0, -140.0, 62.0, -173.0]",hill_climbing,102.40761773073208
128,"[95.0, -108.0, -140.0, 62.0, -173.0]",sparse_lqr,27.144480176232776
129,"[95.0, -108.0, -140.0, 62.0, -173.0]",hill_climbing,107.6687290738514
130,"[95.0, -108.0, -140.0, 62.0, -173.0]",sparse_max_discrete,110.2026392431935
131,"[95.0, -108.0, -140.0, 62.0, -173.0]",sparse_max_continuous,484.57928215056205
132,"[95.0, -108.0, -140.0, 62.0, -173.0]",sparse_max_continuous,558.3637917198907
133,"[95.0, -108.0, -140.0, 62.0, -173.0]",sparse_max_discrete,213.35081724111006
134,"[95.0, -108.0, -140.0, 62.0, -173.0]",sparse_max_discrete,305.8766923339928
135,"[95.0, -108.0, -140.0, 62.0, -173.0]",hill_climbing,103.47065409388318
136,"[95.0, -108.0, -140.0, 62.0, -173.0]",hill_climbing,104.60998363546017
137,"[95.0, -108.0, -140.0, 62.0, -173.0]",sparse_max_discrete,93.81337520508905
138,"[95.0, -108.0, -140.0, 62.0, -173.0]",sparse_max_discrete,139.13352684391785
139,"[95.0, -108.0, -140.0, 62.0, -173.0]",hill_climbing,116.26783914919227
140,"[95.0, -108.0, -140.0, 62.0, -173.0]",sparse_max_continuous,837.0277918099275
141,"[95.0, -108.0, -140.0, 62.0, -173.0]",sparse_max_discrete,116.50335132063482
142,"[95.0, -108.0, -140.0, 62.0, -173.0]",hill_climbing,103.94171555576621
143,"[95.0, -108.0, -140.0, 62.0, -173.0]",hill_climbing,114.21624306880537
144,"[95.0, -108.0, -140.0, 62.0, -173.0]",sparse_max_discrete,124.12977660988967
145,"[95.0, -108.0, -140.0, 62.0, -173.0]",sparse_lqr,95.55489600385245
146,"[95.0, -108.0, -140.0, 62.0, -173.0]",sparse_max_discrete,98.5714847488231
147,"[95.0, -108.0, -140.0, 62.0, -173.0]",sparse_lqr,95.55489600385245
148,"[95.0, -108.0, -140.0, 62.0, -173.0]",sparse_max_discrete,114.9033320595986
149,"[95.0, -108.0, -140.0, 62.0, -173.0]",hill_climbing,105.8138120133341
