situation,condition
"[-84, 219, 125, -84, 132]",informative
"[-88, 3, 58, 82, 231]",informative
"[-78, -67, -202, -177, -199]",informative
"[-140, 17, 95, 220, 85]",informative
"[204, -158, 121, -59, 25]",informative
"[111, -133, -75, 92, -149]",informative
"[226, -240, -10, -156, -178]",informative
"[157, 119, -204, 7, -35]",informative
"[170, -104, -133, -6, -73]",informative
"[-119, -21, -59, 174, 101]",informative
"[-117, 249, 246, -225, 142]",informative
"[117, -241, -135, 88, -100]",informative
"[129, 100, 39, -234, -193]",informative
"[-184, 235, 38, -237, 65]",informative
"[-114, 53, -50, 142, -11]",informative
"[108, -67, -114, -99, -37]",informative
"[89, -145, -189, 214, -7]",informative
"[-141, 153, 210, 178, 111]",informative
"[17, -13, 243, 61, -9]",informative
"[199, 61, 189, -118, -203]",informative
"[-32, 39, 75, 175, 6]",easy
"[62, -42, -30, -140, -30]",easy
"[-7, -47, -67, -56, 11]",easy
"[115, 61, 51, 144, 47]",easy
"[-8, 40, 5, -85, 52]",easy
"[-122, 71, -217, 131, 165]",easy
"[106, 40, -10, -191, 3]",easy
"[-152, 28, 59, 52, -57]",easy
"[48, -122, -147, 36, -31]",easy
"[-90, 48, 113, -11, 87]",easy
